'-0.282ETA_Epsilon_2+0.271MLogP+0.27 SpMin4_Bhm-0.261AATSC0s-0.251Mpe...',-0.309AATSC5c+0.298BCUTc-1l-0.296GATS6c-0.278AVP-2-0.217ATSC3e...,-0.365GGI9-0.345ALogp2-0.301SpMAD_Dze+0.273ETA_AlphaP-0.262ATSC3e...,-0.368nHaaCH-0.368naaCH-0.29AATS3p-0.274AATS0m-0.252maxHBint5...,-0.43SIC4-0.423BIC3-0.278GATS4p+0.271JGT+0.222BCUTc-1l...,'0.371MATS1c+0.345MATS5e_Exp+0.29 MATS3c+0.273AATSC7e_Exp-0.256GATS6c...',-0.411AATSC8c+0.376ATSC1i_Exp+0.293VR1_Dzv+0.271GATS8s_Exp-0.269VR1_D_Exp...,Results
1.567919,-1.857939,-1.523175,2.615563,-0.9695,-0.221671,0.037352,0
-0.255014,-0.725231,-6.360158,0.088952,-1.022176,-1.111515,-0.203949,0
0.864898,-2.463564,-6.098996,0.82346,-0.986092,-0.580279,-0.662788,0
-2.298275,1.155869,-0.856713,1.513311,-2.679608,-1.365751,1.019307,0
2.640003,0.908019,0.108146,0.230841,-1.058619,-0.072282,0.145649,0
1.520589,-1.719614,-1.190772,2.520423,-0.716703,0.436655,0.035435,0
1.680163,-1.642245,-0.038299,2.196054,-0.018673,-0.690403,-0.42789,1
-1.277833,-1.97021,2.05142,-0.352073,-0.08648,-1.79648,-1.113021,0
0.582668,-1.646141,2.77375,2.033766,2.566071,-0.803425,-1.095244,1
0.248746,0.005296,2.432418,-3.145265,0.706738,-1.038479,-0.723877,0
4.512866,-1.042579,1.810991,-0.758925,-0.256482,2.722177,-0.128676,1
2.298744,-0.903194,-1.80654,0.090789,-0.554068,0.660202,-0.717423,0
-1.643392,-0.520086,0.615846,-0.424554,-1.969498,-0.817114,-1.349354,1
-8.265739,-3.621801,0.425505,-1.389523,1.672374,-1.187052,-3.533142,0
2.412608,-0.706237,-1.339532,-2.163625,0.346665,0.153052,0.290923,0
2.793885,-0.28106,0.735143,-1.140314,1.726748,0.72911,0.080261,1
1.964463,-1.389599,1.48416,2.053816,0.697541,1.536393,-1.076813,1
2.117087,0.076896,0.829825,-1.504223,0.051519,-1.482146,0.634599,1
2.417183,-0.273859,1.727614,-1.129504,-0.204758,0.227652,-0.203781,1
-0.302345,-0.586905,-6.027754,-0.006187,-0.769378,-0.453189,-0.205867,0
3.067027,0.015831,1.341589,0.461806,1.151435,-0.697487,-0.370962,1
3.067027,0.015831,1.341589,0.461806,1.151435,-0.697487,-0.370962,1
-2.034497,5.167885,-1.967782,0.546727,4.612056,0.413035,0.012166,1
-3.530834,-0.206629,2.781109,6.065336,-0.108954,-2.137217,0.451053,0
-5.066133,-2.407126,-0.169325,-0.149181,-1.987469,1.505077,0.349203,0
