0.283ETA_Epsilon_2-0.27MLogP-0.265SpMin4_Bhm+0.258AATSC0s+0.246Mpe...,0.362GGI9+0.314SpMAD_Dze+0.286ALogp2+0.235SpMin3_Bhp-0.227AVP-2...,0.337BCUTc-1l-0.283ATSC3e+0.274AATS0m+0.229AATS3p-0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,-0.438SIC4-0.426BIC3+0.261AATSC5c+0.221VR1_Dze+0.206JGT...,-0.332MATS5e_Exp-0.317MATS1c+0.293GATS6c-0.264AATSC7e_Exp-0.251MATS3c...,0.447ATSC1i_Exp-0.409VR1_D_Exp-0.408AATSC3m_Exp+0.284GATS8s_Exp+0.235VR1_Dzv...,-0.357VR1_Dzv-0.332VR1_Dze+0.327AATSC8c-0.294VR1_D_Exp+0.252AATSC5c...,0.416MDEC-13-0.39GATS5e-0.305ALogp2+0.243JGT+0.242AATS3p...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,-0.515ETA_BetaP_Exp+0.376GATS5i-0.33ETA_AlphaP-0.256AATS0m-0.254VR1_D_Exp...,-0.331ETA_BetaP_Exp+0.307AVP-2+0.293GATS8s_Exp-0.287GATS6c+0.286AATSC3m_Exp...,'0.436ATSC7c-0.361MDEC-13-0.306BIC3+0.24 ETA_dEpsilon_D+0.238MATS5e_Exp...',Results
3.779194,-0.33158,6.687731,-1.623054,-3.332447,2.628181,2.397557,0.744573,1.139179,-1.138272,-2.389208,3.959358,-0.730395,C
0.778135,-0.446591,-0.613565,1.360546,-2.055734,-0.420684,-0.164869,1.270633,-1.63454,-0.348285,-0.721293,1.304569,-1.477496,K
-2.553045,-1.759381,0.340945,-2.289643,-1.29237,-0.9318,-0.187418,-0.304451,-0.448805,-0.127167,-1.419475,0.849458,-0.943608,K
-0.232364,-2.10393,1.459848,-3.231061,0.082641,1.278054,0.044547,1.217512,-0.140117,-0.159998,-1.211124,0.586867,-0.497833,K
-3.026793,-1.167508,0.984722,0.365271,0.770962,0.948245,0.179093,0.95728,-1.151245,-0.62454,-0.515148,1.371191,-0.57289,C
2.010591,4.193493,5.610448,0.483676,2.889052,-0.081486,0.589816,0.822676,-0.346809,1.955828,-0.6324,-1.043672,-1.169745,C
0.139861,-0.226456,0.808233,-4.186528,0.739962,1.470213,-0.180967,1.622842,-0.087524,-0.28362,-0.77605,1.064402,-1.04005,K
-2.679091,0.253764,0.713117,0.21944,-1.27766,0.178483,0.056351,-0.467441,0.726076,0.68189,0.638226,0.369837,-1.412134,K
-2.299753,1.057916,-0.887258,-2.264141,0.585941,0.463021,0.459828,-1.037996,0.915743,0.187623,-0.771009,1.10955,0.373446,K
-2.527702,-1.827965,0.256859,-2.38068,-1.305148,-1.52566,0.456824,-0.050625,-0.472482,-0.15418,-1.343278,0.534097,-0.665158,K
0.181537,-0.282155,0.715221,-4.273564,0.727743,0.899318,0.4153,1.833046,-0.129629,-0.277265,-0.814621,0.785108,-0.782684,C
2.229865,1.132597,0.433173,1.564249,-3.37178,0.387409,1.293654,-0.33135,-0.656849,1.656676,0.657085,0.546324,0.61993,C
3.222484,-0.247,0.371617,0.49921,-0.105384,-0.149906,0.61136,0.726909,0.581545,1.608928,1.183745,1.234157,-0.447737,C
-2.637416,0.198065,0.620104,0.132404,-1.289879,-0.392411,0.652618,-0.257237,0.68397,0.688245,0.599654,0.090544,-1.154767,C
1.346853,-0.565739,2.350072,0.673531,-3.499337,-0.241384,0.810612,-0.371211,-0.564257,1.801932,1.476885,-0.258567,-0.732718,K
1.412982,-2.637152,-0.722836,-0.587602,-0.155054,1.410412,0.638177,1.828708,-0.102157,-0.161553,-0.121068,-0.768818,-0.1816,C
